English,Russian
abandon,покидать
ability,способность
able,способный
abortion,аборт
about,о
above,над
abroad,за рубежом
absence,отсутствие
absolute,абсолютно
absolutely,абсолютно
absorb,поглощать
abuse,злоупотреблять
academic,академический
accept,принимать
access,доступ
accident,авария
accompany,сопровождать
accomplish,выполнить
according,согласно
account,учетная запись
accurate,точный
accuse,обвинять
achieve,достигать
achievement,достижение
acid,кислота
acknowledge,сознавать
acquire,приобретать
across,через
act,действовать
action,действие
active,активный
activist,активист
activity,деятельность
actor,актер
actress,актриса
actual,действительный
actually,фактически
ad,объявление
adapt,адаптация
add,Добавить
addition,добавление
additional,дополнительный
address,адрес
adequate,адекватный
adjust,регулировать
adjustment,корректирование
administration,администрация
administrator,администратор
admire,восхищаться
admission,допуск
admit,признаться
adolescent,подросток
adopt,усыновить
adult,взрослый
advance,продвигать
advanced,передовой
advantage,преимущество
adventure,приключение
advertising,Реклама
advice,совет
advise,советовать
adviser,советник
advocate,адвокат
affair,Роман
affect,оказывать воздействие
afford,предоставлять
afraid,испуганный
African,Африканский
African-American,Афроамериканец
after,после
afternoon,после полудня
again,опять таки
against,против
age,возраст
agency,агентство
agenda,повестка дня
agent,агент
aggressive,агрессивный
ago,назад
agree,согласна
agreement,соглашение
agricultural,сельскохозяйственное хозяйство
ah,ах
ahead,предстоящий
aid,помогать
aide,помощник
AIDS,СПИД
aim,цель
air,воздух
aircraft,самолет
airline,авиакомпания
airport,аэропорт
album,альбом
alcohol,алкоголь
alive,живой
all,все
alliance,альянс
allow,разрешать
ally,союзник
almost,почти
alone,в одиночестве
along,вместе
already,уже
also,также
alter,изменить
alternative,альтернатива
although,несмотря на то что
always,всегда
AM,ЯВЛЯЮСЬ
amazing,удивительно
American,Американец
among,среди
amount,количество
analysis,анализ
analyst,аналитик
analyze,анализировать
ancient,древний
and,а также
anger,злость
angle,угол
angry,сердитый
animal,животное
anniversary,Годовщина
announce,объявлять
annual,ежегодный
another,еще один
answer,отвечать
anticipate,предвидеть
anxiety,беспокойство
any,Любые
anybody,Кто-нибудь
anymore,больше
anyone,любой
anything,что-нибудь
anyway,в любом случае
anywhere,в любом месте
apart,отдельно
apartment,квартира
apparent,очевидный
apparently,по-видимому
appeal,обращаться
appear,появляться
appearance,внешность
apple,яблоко
application,заявление
apply,применять
appoint,назначать
appointment,встреча
appreciate,ценить
approach,подход
appropriate,соответствующий
approval,одобрение
approve,утвердить
approximately,примерно
Arab,Араб
architect,архитектор
area,площадь
argue,спорить
argument,аргумент
arise,возникать
arm,рука
armed,вооруженный
army,армия
around,около
arrange,договариваться
arrangement,расположение
arrest,арест
arrival,пребытие
arrive,прибыть
art,Изобразительное искусство
article,статья
artist,художник
artistic,художественный
as,так как
Asian,Азиатский
aside,в стороне
ask,просить
asleep,спящий
aspect,аспект
assault,атаковать
assert,утверждать
assess,оценивать
assessment,оценка
asset,актив
assign,назначать
assignment,назначение
assist,оказывать помощь
assistance,содействие
assistant,ассистент
associate,ассортимент
association,ассоциация
assume,предполагать
assumption,предположение
assure,гарантировать
at,в
athlete,спортсмен
athletic,Спортивное
atmosphere,атмосфера
attach,прикреплять
attack,атака
attempt,пытаться
attend,посещать
attention,внимание
attitude,отношение
attorney,адвокат
attract,привлекать
attractive,привлекательный
attribute,атрибут
audience,аудитория
author,автор
authority,власть
auto,авто
available,доступный
average,средний
avoid,избегать
award,награда
aware,осведомленный
awareness,осведомленность
away,прочь
awful,ужасный
baby,детка
back,назад
background,задний план
bad,плохой
badly,плохо
bag,мешок
bake,выпекать
balance,остаток средств
ball,мяч
ban,запрет
band,группа
bank,банк
bar,бар
barely,едва
barrel,бочонок
barrier,барьер
base,основание
baseball,бейсбол
basic,базовый
basically,в принципе
basis,основа
basket,корзина
basketball,баскетбол
bathroom,ванная комната
battery,батареи
battle,боевой
be,быть
beach,пляж
bean,боб
bear,медведь
beat,бить
beautiful,Прекрасный
beauty,Красота
because,потому что
become,стали
bed,кровать
bedroom,спальная комната
beer,пиво
before,до
begin,начинать
