,English,Russian
0,abandon,покидать
1,ability,способность
2,able,способный
3,abortion,аборт
4,about,о
5,above,над
6,abroad,за рубежом
7,absence,отсутствие
8,absolute,абсолютно
9,absolutely,абсолютно
10,absorb,поглощать
11,abuse,злоупотреблять
12,academic,академический
13,accept,принимать
14,access,доступ
15,accident,авария
16,accompany,сопровождать
17,accomplish,выполнить
18,according,согласно
19,account,учетная запись
20,accurate,точный
21,accuse,обвинять
22,achieve,достигать
23,achievement,достижение
24,acid,кислота
25,acknowledge,сознавать
26,acquire,приобретать
27,across,через
28,act,действовать
29,action,действие
30,active,активный
31,activist,активист
32,activity,деятельность
33,actor,актер
34,actress,актриса
35,actual,действительный
36,actually,фактически
37,ad,объявление
38,adapt,адаптация
39,add,Добавить
40,addition,добавление
41,additional,дополнительный
42,address,адрес
43,adequate,адекватный
44,adjust,регулировать
45,adjustment,корректирование
46,administration,администрация
47,administrator,администратор
48,admire,восхищаться
49,admission,допуск
50,admit,признаться
51,adolescent,подросток
52,adopt,усыновить
53,adult,взрослый
54,advance,продвигать
55,advanced,передовой
56,advantage,преимущество
57,adventure,приключение
58,advertising,Реклама
59,advice,совет
60,advise,советовать
61,adviser,советник
62,advocate,адвокат
63,affair,Роман
64,affect,оказывать воздействие
65,afford,предоставлять
66,afraid,испуганный
67,African,Африканский
68,African-American,Афроамериканец
69,after,после
70,afternoon,после полудня
71,again,опять таки
72,against,против
73,age,возраст
74,agency,агентство
75,agenda,повестка дня
76,agent,агент
77,aggressive,агрессивный
78,ago,назад
79,agree,согласна
80,agreement,соглашение
81,agricultural,сельскохозяйственное хозяйство
82,ah,ах
83,ahead,предстоящий
84,aid,помогать
85,aide,помощник
86,AIDS,СПИД
87,aim,цель
88,air,воздух
89,aircraft,самолет
90,airline,авиакомпания
91,airport,аэропорт
92,album,альбом
93,alcohol,алкоголь
94,alive,живой
95,all,все
96,alliance,альянс
97,allow,разрешать
98,ally,союзник
99,almost,почти
100,alone,в одиночестве
101,along,вместе
102,already,уже
103,also,также
104,alter,изменить
105,alternative,альтернатива
106,although,несмотря на то что
107,always,всегда
108,AM,ЯВЛЯЮСЬ
109,amazing,удивительно
110,American,Американец
111,among,среди
112,amount,количество
113,analysis,анализ
114,analyst,аналитик
115,analyze,анализировать
116,ancient,древний
117,and,а также
118,anger,злость
119,angle,угол
120,angry,сердитый
121,animal,животное
122,anniversary,Годовщина
123,announce,объявлять
124,annual,ежегодный
125,another,еще один
126,answer,отвечать
127,anticipate,предвидеть
128,anxiety,беспокойство
129,any,Любые
130,anybody,Кто-нибудь
131,anymore,больше
132,anyone,любой
133,anything,что-нибудь
134,anyway,в любом случае
135,anywhere,в любом месте
136,apart,отдельно
137,apartment,квартира
138,apparent,очевидный
139,apparently,по-видимому
140,appeal,обращаться
141,appear,появляться
142,appearance,внешность
143,apple,яблоко
144,application,заявление
145,apply,применять
146,appoint,назначать
147,appointment,встреча
148,appreciate,ценить
149,approach,подход
150,appropriate,соответствующий
151,approval,одобрение
152,approve,утвердить
153,approximately,примерно
154,Arab,Араб
155,architect,архитектор
156,area,площадь
157,argue,спорить
158,argument,аргумент
159,arise,возникать
160,arm,рука
161,armed,вооруженный
162,army,армия
163,around,около
164,arrange,договариваться
165,arrangement,расположение
166,arrest,арест
167,arrival,пребытие
168,arrive,прибыть
169,art,Изобразительное искусство
170,article,статья
171,artist,художник
172,artistic,художественный
173,as,так как
174,Asian,Азиатский
175,aside,в стороне
176,ask,просить
177,asleep,спящий
178,aspect,аспект
179,assault,атаковать
180,assert,утверждать
181,assess,оценивать
182,assessment,оценка
183,asset,актив
184,assign,назначать
185,assignment,назначение
186,assist,оказывать помощь
187,assistance,содействие
188,assistant,ассистент
189,associate,ассортимент
190,association,ассоциация
191,assume,предполагать
192,assumption,предположение
193,assure,гарантировать
194,at,в
195,athlete,спортсмен
196,athletic,Спортивное
197,atmosphere,атмосфера
198,attach,прикреплять
199,attack,атака
200,attempt,пытаться
201,attend,посещать
202,attention,внимание
203,attitude,отношение
